"","preferredLabel","conceptUri","code","onet_title","onet_code","occup_type","task_total"
"119","mattress making machine operator","http://data.europa.eu/esco/occupation/cf74a14f-f1fe-4008-a935-5c173f246655","8159.5","Textile, Apparel, and Furnishings Workers, All Other","51-6099.00","Non-green",NA
"120","cabin crew instructor","http://data.europa.eu/esco/occupation/d185c066-cddf-4a8c-a931-5eefc21fc2a1","2320.1.8","Teachers and Instructors, All Other","25-3099.00","Non-green",NA
"121","chocolate moulding operator","http://data.europa.eu/esco/occupation/d41ff08f-1ba9-4e39-b9b5-ad6bfe8f9611","8160.16","Food Processing Workers, All Other","51-3099.00","Non-green",NA
"122","mine rescue officer","http://data.europa.eu/esco/occupation/d4ccb6d4-ea97-47e5-a319-b72cffbf0631","5411.1.3","First-Line Supervisors of Protective Service Workers, All Other","33-1099.00","Non-green",NA
"123","stagehand","http://data.europa.eu/esco/occupation/d52db93d-9ae5-47d9-b9dc-eab8aa9f2ba9","7215.1.1","Media and Communication Equipment Workers, All Other","27-4099.00","Non-green",NA
"124","social services policy officer","http://data.europa.eu/esco/occupation/d6ef013f-57e9-4100-bbe5-3e4930664dee","2422.12.15","Social Scientists and Related Workers, All Other","19-3099.00","Non-green",NA
"125","furniture assembler","http://data.europa.eu/esco/occupation/d7f3d76b-23e8-447e-93d5-da13ff9bc102","8219.4","Assemblers and Fabricators, All Other","51-2099.00","Non-green",NA
"126","fruit and vegetable canner","http://data.europa.eu/esco/occupation/defc8417-eeb6-4f13-8fcd-6518b99a40f4","8160.36","Food Processing Workers, All Other","51-3099.00","Non-green",NA
"127","mine production manager","http://data.europa.eu/esco/occupation/df66a6e6-2130-4932-8aaf-263dafa569fa","1322.1.1","Managers, All Other","11-9199.00","Non-green",NA
"128","patent engineer","http://data.europa.eu/esco/occupation/e047b8f5-9491-4da2-8816-7aa37ad2370d","2149.13","Engineers, All Other","17-2199.00","Non-green",NA
"129","cocoa mill operator","http://data.europa.eu/esco/occupation/e0b347de-f88b-4f69-b7d0-0a965e41f0d5","8160.20","Food Processing Workers, All Other","51-3099.00","Non-green",NA
"130","immigration adviser","http://data.europa.eu/esco/occupation/e19fe26f-0759-4bb1-af71-5bbecf3df69f","3354.1","Counselors, All Other","21-1019.00","Non-green",NA
"131","cider fermentation operator","http://data.europa.eu/esco/occupation/e3713dd7-572d-4c6c-87ec-1944b3572175","8160.17","Food Processing Workers, All Other","51-3099.00","Non-green",NA
"132","product and services manager","http://data.europa.eu/esco/occupation/e5a63940-57d3-4065-8713-74b4e2c93063","2431.15","Managers, All Other","11-9199.00","Non-green",NA
"133","animal assisted therapist","http://data.europa.eu/esco/occupation/e6023abf-ced3-4ac9-9437-cc79e4396e3e","2269.9.1","Therapists, All Other","29-1129.00","Non-green",NA
"134","V-belt coverer","http://data.europa.eu/esco/occupation/e80cee57-3672-4aaf-8ca7-53b90771c364","8141.1.9.1","Production Workers, All Other","51-9199.00","Non-green",NA
"135","ICT vendor relationship manager","http://data.europa.eu/esco/occupation/e8bbc7fd-cfa2-406f-a664-57e5024cfbc5","1330.8","Managers, All Other","11-9199.00","Non-green",NA
"136","cigarette making machine operator","http://data.europa.eu/esco/occupation/ecfcf554-254f-4dd7-a20c-b60cc6b16054","8160.18","Production Workers, All Other","51-9199.00","Non-green",NA
"137","clothing process control technician","http://data.europa.eu/esco/occupation/f444e8ec-5eed-4777-866e-7127aa06ce4f","3139.1.1","Textile, Apparel, and Furnishings Workers, All Other","51-6099.00","Non-green",NA
"138","textile finishing machine operator","http://data.europa.eu/esco/occupation/f73e11e7-0eb8-4a46-b2e1-9e544c2f3652","8154.4","Textile, Apparel, and Furnishings Workers, All Other","51-6099.00","Non-green",NA
"139","aquaculture harvesting worker","http://data.europa.eu/esco/occupation/fbf23c18-d9a3-4349-83dc-2bc39948bdf7","9216.2","Agricultural Workers, All Other","45-2099.00","Non-green",NA
"140","psychic","http://data.europa.eu/esco/occupation/fd8b68c0-7341-44bb-855d-9b1254eade33","5161.4","Entertainers and Performers, Sports and Related Workers, All Other","27-2099.00","Non-green",NA
"141","application engineer","http://data.europa.eu/esco/occupation/fde4372d-8293-42de-afbb-8b5a9b274fe7","2149.2","Engineers, All Other","17-2199.00","Non-green",NA
"142","cosmetics production machine operator","http://data.europa.eu/esco/occupation/ff5210a5-2ea9-43b4-bebc-8d565f928eaa","8131.4","Production Workers, All Other","51-9199.00","Non-green",NA
