"","conceptType","conceptUri","iscoGroup","preferredLabel","altLabels","hiddenLabels","status","modifiedDate","regulatedProfessionNote","scopeNote","definition","inScheme","description","code","onet_title","onet_code"
"44","Occupation","http://data.europa.eu/esco/occupation/5baffa9d-1607-4665-be94-662bad26b9ff","3122","distillery supervisor","distillery supervisor
distilling supervisor
distillery manager","","released","2022-07-14T08:26:51.676Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Distillery supervisors coordinate the production processes comprised in the production of spirits and manage the workers engaged in the process. They verify distilled liquors being produced at specified amounts and proofs. 
","3122.4.3",NA,NA
"45","Occupation","http://data.europa.eu/esco/occupation/5e29c263-a3ca-4220-b67e-ee65205db294","7317","toymaker","plaything repairer
toy fixer
toymaker
metal toy maker
soft toy maker
toy repairman
gismo repairer
hand toy maker
play thing repairer
puppet maker
craft toymaker
toy creator
plastic toy maker
metal toymaker
toy repairer
electric toy repairman
toy finisher
hand toymaker
plaything repairman
craft toy maker
gizmo repairer
maker of toys
plastic toymaker
toy designer
toy maker
electric toy repairer
soft toymaker","","released","2016-10-17T17:43:56Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Toymakers create or reproduce hand-made objects for sale and exhibition made of various materials such as plastic, wood and textile. They develop, design and sketch the object, select the materials and cut, shape and process the materials as necessary and apply finishes. In addition, toymakers maintain and repair all types of toys, including mechanical ones. They identify defects in toys, replace damaged parts and restore their functionality.","7317.4",NA,NA
"46","Occupation","http://data.europa.eu/esco/occupation/5e5522c5-4b09-4586-a8f0-3b6d66d99969","8172","debarker operator","debarking machinist
debarking machine technician
log peeler operator
debarking machine operator
log peeler specialist
log peeling machine specialist
debarker specialist
debarking technician
debarker technician
debarking machine specialist
debarking operator
log peeling machinist
log peeler technician
log peeling machine operator
log peeler
debarker
log peeling machine technician
debarker operator
debarking specialist","","released","2016-07-05T17:01:36Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Debarker operators operate debarking machines to strip harvested trees of their bark. The tree is fed into the machine, after which the bark is stripped using abrasion or cutting.","8172.3",NA,NA
"47","Occupation","http://data.europa.eu/esco/occupation/62d3f108-ade2-44b5-beeb-d63d0b21268f","2146","mineral processing engineer","mineral processing engineers
senior mineralogist
materials expert
senior metallurgist
surface manager
mineral processing engineer
mineral engineer
senior processing engineer","","released","2016-07-05T17:09:53Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Mineral processing engineers develop and manage equipment and techniques to successfully process and refine valuable minerals from ore or raw mineral.","2146.9",NA,NA
"48","Occupation","http://data.europa.eu/esco/occupation/65fb0b53-b8c4-4839-b099-c80b6de5a158","2422","employment programme coordinator","program coordinator employment
programme coordinator employment
employment programme manager
job creation advisor
employment program manager
employment program coordinator
return to work advisor","","released","2016-07-05T16:22:06Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Employment programme coordinators research and develop employment programmes and policies to improve employment standards and reduce issues such as unemployment. They supervise promotion of policy plans and coordinate implementation.","2422.3",NA,NA
"49","Occupation","http://data.europa.eu/esco/occupation/6b0ad7c0-a37f-45c6-a486-ee943a11429e","5161","astrologer","astrology expert
astrologist
astrologer
horoscope teller
horoscope expert","","released","2021-10-02T12:53:01.362Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Astrologers analyse constellation and motions of celestial objects and specific stellar and planetary alignments. They present this analysis together with their own interpretations about clients' temperament, predispositions related to their health, love and marriage issues, business and job opportunities and other personal aspects. 
 ","5161.1",NA,NA
"50","Occupation","http://data.europa.eu/esco/occupation/6b5e5aa6-9bf7-47e6-90d2-4d2187d47d11","2422","immigration policy officer","immigration policy officer
refugee policy officer
asylum policy officer
government policy manager
immigration policy analyst","","released","2021-03-16T14:56:50.341Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Immigration policy officers develop strategies for the integration of refugees and asylum seekers, and policies for the transit of people from one nation to another. They aim to improve international cooperation and communication on the subject of immigration, as well as efficiency of immigration and integration procedures.","2422.12.9",NA,NA
"51","Occupation","http://data.europa.eu/esco/occupation/6e1b1bd7-9eec-4f10-bce7-94a27d9023e8","2359","admissions coordinator","school admissions coordinator
admissions officer
coordinator of admissions
student admissions officer
college admissions coordinator
admissions coordinator
university admissions coordinator
admissions coordinator in education
coordinator of student admissions
student admissions coordinator
admissions coordinator in university","","released","2020-08-05T08:29:46.348Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Admissions coordinators are in charge of the students' applications and admissions to a (private) school, college or university. They assess possible future students' qualifications and subsequently approve or deny their application, based on the regulations and desires set by the board of directors and the school administration. They also assist the accepted students in their enrollment in the programme and courses of their choice.","2359.3",NA,NA
"52","Occupation","http://data.europa.eu/esco/occupation/7664f3e6-b469-4e1a-b52c-8a7ac866eb5a","8121","wire weaving machine operator","wire mesh operator
wire worker
wire bending operator
wire weaving operative
wire winding machine operator
wire winding machine operative
wire weaving operator
wire weaving loom operative
wire preparation weaving operative
wire worker apprentice
wire weaving machine operator
wire mesh knitter
wire weaving loom operator
wire bender
wire preparation weaving operator","","released","2016-07-05T17:09:30Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Wire weaving machine operators set up and tend wire weaving machines, designed to produce woven metal wire cloth out of the alloys or ductile metal that can be drawn into wire.","8121.7",NA,NA
"53","Occupation","http://data.europa.eu/esco/occupation/7696b15a-c52e-4ac5-b38d-9eeb010c5fa3","0110","artillery officer","munitions officer
infantry officer
gunner
artillery technician
artillery officer","","released","2022-01-13T09:33:49.121Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Artillery officers offer support in battle in the fields of target acquisition, coordination of information, surveillance and weaponry. They are in charge of tactics, and deployment of weaponry on the field. They also lead soldiers.","0110.6",NA,NA
