"","X","code_minor","green_share","count_total","count_green","count_stem","name_minor","task_green_share","task_count_total"
"106",106,"816",0.041142219000287,482,13,3,"Food and Related Products Machine Operators",0.0130952380952381,11
"107",107,"817",0.0750355756403284,201,11,6,"Wood Processing and Papermaking Plant Operators",0.00560224089635854,2
"108",108,"818",0.0508849247371331,328,12,8,"Other Stationary Plant and Machine Operators",0,0
"109",109,"821",0.0243521511727583,577,17,49,"Assemblers",0.00946065428824049,9
"110",110,"831",0,117,0,4,"Locomotive Engine Drivers and Related Workers",0,0
"111",111,"832",0,131,0,9,"Car, Van and Motorcycle Drivers",0,0
"112",112,"833",0.0675513084439381,210,15,5,"Heavy Truck and Bus Drivers",0.119354838709677,22
"113",113,"834",0.0545670358132578,300,20,13,"Mobile Plant Operators",0.00740740740740741,2
"114",114,"835",0.029710463803901,174,6,8,"Ships' Deck Crews and Related Workers",0,0
"115",115,"911",0.0504004360364836,136,9,0,"Domestic, Hotel and Office Cleaners and Helpers",0,0
"116",116,"912",0.0573015049940121,154,7,1,"Vehicle, Window, Laundry and Other Hand Cleaning Workers",0,0
"117",117,"921",0.141061993916512,328,45,7,"Agricultural, Forestry and Fishery Labourers",0,0
"118",118,"931",0.064551873215437,201,11,1,"Mining and Construction Labourers",0.0416666666666667,12
"119",119,"932",0.033102766798419,76,3,2,"Manufacturing Labourers",0,0
"120",120,"933",0.0246108729979698,245,9,14,"Transport and Storage Labourers",0.00879765395894428,3
"121",121,"941",0.0692837941628264,57,3,0,"Food Preparation Assistants",0,0
"122",122,"951",0,12,0,1,"Street and Related Service Workers",0,0
"123",123,"952",0,57,0,2,"Street Vendors (excluding Food)",0,0
"124",124,"961",0.463461538461538,67,27,0,"Refuse Workers",0.75,48
"125",125,"962",0.0265932738758826,216,8,4,"Other Elementary Workers",0.0111111111111111,4
